,0,1,accuracy,macro avg,weighted avg
precision,0.9988329832283018,0.998516670599737,0.998675696516579,0.9986748269140194,0.9986757442386707
recall,0.9985333333333334,0.9988197207796587,0.998675696516579,0.9986765270564961,0.998675696516579
f1-score,0.9986831358037039,0.9986681726992261,0.998675696516579,0.998675654251465,0.9986756976453208
support,30000.0,29654.0,0.998675696516579,59654.0,59654.0
